주요재무정보,연간연간컨센서스보기,연간연간컨센서스보기,연간연간컨센서스보기,연간연간컨센서스보기,연간연간컨센서스보기,분기분기컨센서스보기,분기분기컨센서스보기,분기분기컨센서스보기,분기분기컨센서스보기,분기분기컨센서스보기
주요재무정보,2020/12  (IFRS연결),2021/12  (IFRS연결),2022/12  (IFRS연결),2023/12  (IFRS연결),2024/12(E)  (IFRS연결),2023/12  (IFRS연결),2024/03  (IFRS연결),2024/06  (IFRS연결),2024/09  (IFRS연결),2024/12(E)  (IFRS연결)
매출액,53214.0,55414.0,70604.0,93590.0,101635.0,34317.0,18483.0,27860.0,26312.0,36405.0
영업이익,2439.0,2771.0,4003.0,6911.0,13636.0,2758.0,374.0,3588.0,4772.0,5309.0
영업이익(발표기준),2439.0,2771.0,4003.0,6911.0,,2758.0,374.0,3588.0,4772.0,
세전계속사업이익,1718.0,2894.0,1954.0,12148.0,10253.0,2047.0,557.0,1389.0,3770.0,5198.0
당기순이익,1647.0,3018.0,1466.0,9769.0,8425.0,1978.0,26.0,1599.0,3183.0,3336.0
당기순이익(지배),1214.0,2526.0,1954.0,8175.0,7914.0,1607.0,-131.0,1472.0,3184.0,3567.0
당기순이익(비지배),433.0,492.0,-488.0,1594.0,,371.0,157.0,127.0,-1.0,
자산총계,94648.0,110458.0,151518.0,195429.0,216457.0,195429.0,205248.0,221812.0,209052.0,216457.0
부채총계,64751.0,71143.0,112335.0,148587.0,167354.0,148587.0,158953.0,173545.0,167028.0,167354.0
자본총계,29897.0,39316.0,39183.0,46842.0,49102.0,46842.0,46294.0,48266.0,42025.0,49102.0
자본총계(지배),25977.0,28892.0,28574.0,35284.0,37312.0,35284.0,34744.0,36554.0,30417.0,37312.0
자본총계(비지배),3920.0,10423.0,10610.0,11559.0,,11559.0,11550.0,11712.0,11608.0,
자본금,2656.0,2656.0,2656.0,2656.0,2462.0,2656.0,2656.0,2656.0,2404.0,2462.0
영업활동현금흐름,4348.0,9900.0,15243.0,13902.0,7756.0,8259.0,-4230.0,273.0,-7272.0,
투자활동현금흐름,-2987.0,-6071.0,-12249.0,-30291.0,-9962.0,-6756.0,-2386.0,-3809.0,-4924.0,
재무활동현금흐름,1990.0,8131.0,2161.0,3678.0,7749.0,-3262.0,8154.0,5306.0,2239.0,
CAPEX,1894.0,1661.0,1967.0,4534.0,5060.0,1495.0,1229.0,1540.0,1136.0,
FCF,2454.0,8239.0,13276.0,9369.0,1224.0,6764.0,-5459.0,-1266.0,-8408.0,
이자발생부채,24781.0,27806.0,37030.0,42482.0,,42482.0,50926.0,57967.0,59346.0,
영업이익률,4.58,5.0,5.67,7.38,13.42,8.04,2.02,12.88,18.14,14.58
순이익률,3.1,5.45,2.08,10.44,8.29,5.76,0.14,5.74,12.1,9.16
ROE(%),4.78,9.21,6.8,25.6,21.8,25.76,11.96,7.98,18.79,
ROA(%),1.81,2.94,1.12,5.63,4.09,5.66,2.8,1.81,3.4,
부채비율,216.58,180.95,286.69,317.21,340.83,317.21,343.35,359.56,397.45,340.83
자본유보율,750.6,843.51,840.08,1061.27,,1061.27,1022.46,1078.96,1321.48,
EPS(원),2388.0,4989.0,3858.0,16147.0,16160.0,3175.0,-259.0,2907.0,6486.0,7825.0
PER(배),11.93,9.62,19.07,7.71,25.87,7.66,25.85,44.4,24.33,
BPS(원),51329.0,57134.0,56504.0,69773.0,82065.0,69773.0,68706.0,72286.0,66900.0,82065.0
PBR(배),0.56,0.84,1.3,1.78,5.09,1.78,2.98,3.45,4.44,5.09
현금DPS(원),600.0,700.0,1000.0,1800.0,2035.0,1800.0,0.0,0.0,0.0,
현금배당수익률,2.11,1.46,1.36,1.45,0.49,1.45,,,,
현금배당성향(%),25.01,14.01,25.89,11.13,11.72,56.63,0.0,0.0,0.0,
발행주식수(보통주),50630000.0,50630000.0,50630000.0,50630000.0,,50630000.0,50630000.0,50630000.0,45581161.0,
