발표일,시간,실제,예측,이전,Unnamed: 5
2025년 03월 13일 (2월),00:00,0.3%,,0.3%,
2025년 02월 13일 (1월),01:00,0.3%,,0.3%,
2025년 01월 16일 (12월),01:00,0.3%,,0.2%,
2024년 12월 12일 (11월),01:00,0.2%,,0.3%,
2024년 11월 14일 (10월),01:00,0.3%,,0.3%,
2024년 10월 11일 (9월),00:00,0.3%,,0.3%,
2024년 09월 12일 (8월),00:00,0.3%,,0.3%,
2024년 08월 15일 (7월),00:00,0.3%,,0.2%,
2024년 07월 12일 (6월),00:00,0.2%,,0.2%,
2024년 06월 13일 (5월),00:00,0.2%,,0.3%,
2024년 05월 16일 (4월),00:00,0.3%,,0.4%,
2024년 04월 11일 (3월),00:00,0.4%,,0.4%,
2024년 03월 13일 (2월),00:00,0.4%,,0.5%,
2024년 02월 14일 (1월),01:00,0.5%,,0.3%,
2024년 01월 12일 (12월),01:00,0.4%,,0.4%,
2023년 12월 13일 (11월),01:00,0.4%,,0.3%,
2023년 11월 15일 (10월),01:00,0.3%,,0.5%,
2023년 10월 13일 (9월),00:00,0.5%,,0.3%,
2023년 09월 14일 (8월),00:00,0.3%,,0.2%,
2023년 08월 11일 (7월),00:00,0.2%,0.4%,0.4%,
2023년 07월 13일 (6월),00:00,0.4%,0.4%,0.4%,
2023년 06월 14일 (5월),00:00,0.4%,0.5%,0.4%,
2023년 05월 11일 (4월),00:00,0.4%,0.6%,0.4%,
2023년 04월 13일 (3월),00:00,0.4%,0.6%,0.6%,
